0.538461538,0.153846154,0.076923077,0,0,0,0,0,0,0
0.153846154,0.538461538,0.153846154,0.076923077,0,0,0,0,0,0
0.076923077,0.153846154,0.538461538,0.153846154,0.076923077,0,0,0,0,0
0,0.076923077,0.153846154,0.538461538,0.153846154,0.076923077,0,0,0,0
0,0,0.076923077,0.153846154,0.538461538,0.153846154,0.076923077,0,0,0
0,0,0,0.076923077,0.153846154,0.538461538,0.153846154,0.076923077,0,0
0,0,0,0,0.076923077,0.153846154,0.538461538,0.153846154,0.076923077,0
0,0,0,0,0,0.076923077,0.153846154,0.538461538,0.153846154,0.076923077
0,0,0,0,0,0,0.076923077,0.153846154,0.538461538,0.153846154
0,0,0,0,0,0,0,0.076923077,0.153846154,0.538461538
